timestamp,installationId,hpHeat
2023-12-12 23:00:09,1228,1044376
2023-12-13 00:00:12,1228,1044376
2023-12-13 01:00:00,1228,1044376
2023-12-13 02:00:03,1228,1044376
2023-12-13 03:00:06,1228,1044376
2023-12-13 04:00:09,1228,1044376
2023-12-13 05:00:12,1228,1044376
2023-12-13 06:00:00,1228,1044376
2023-12-13 07:00:02,1228,1044376
2023-12-13 08:00:05,1228,1044376
2023-12-13 09:00:08,1228,1045095
2023-12-13 10:00:11,1228,1048499
2023-12-13 11:00:14,1228,1052329
2023-12-13 12:00:01,1228,1056335
2023-12-13 13:00:04,1228,1060724
2023-12-13 14:00:07,1228,1065364
2023-12-13 15:00:09,1228,1070072
2023-12-13 16:00:12,1228,1074694
2023-12-13 17:00:00,1228,1079811
2023-12-13 18:00:02,1228,1085015
2023-12-13 19:00:06,1228,1090108
2023-12-13 20:00:09,1228,1092486
2023-12-13 21:00:12,1228,1092486
2023-12-13 22:00:00,1228,1092486
2023-12-13 23:00:02,1228,1092486
2023-12-14 00:00:05,1228,1092486
2023-12-14 01:00:08,1228,1092486
2023-12-14 02:00:11,1228,1092486
2023-12-14 03:00:00,1228,1092486
2023-12-14 04:00:03,1228,1092486
2023-12-14 05:00:05,1228,1095451
2023-12-14 06:00:08,1228,1100306
2023-12-14 07:00:11,1228,1105678
2023-12-14 08:00:13,1228,1111565
2023-12-14 09:00:01,1228,1117318
2023-12-14 10:00:04,1228,1123667
2023-12-14 11:00:06,1228,1130135
2023-12-14 12:00:09,1228,1137044
2023-12-14 13:00:12,1228,1144074
2023-12-14 14:00:14,1228,1151131
2023-12-14 15:00:02,1228,1158412
2023-12-14 16:00:04,1228,1165871
2023-12-14 17:00:07,1228,1173516
2023-12-14 18:00:10,1228,1181294
2023-12-14 19:00:13,1228,1187814
2023-12-14 20:00:00,1228,1187814
2023-12-14 21:00:03,1228,1187814
2023-12-14 22:00:06,1228,1187814
2023-12-14 23:00:09,1228,1187814
2023-12-15 00:00:12,1228,1187814
2023-12-15 01:00:00,1228,1187814
2023-12-15 02:00:03,1228,1187814
2023-12-15 03:00:06,1228,1187814
2023-12-15 04:00:08,1228,1187814
2023-12-15 05:00:11,1228,1188363
2023-12-15 06:00:14,1228,1191923
2023-12-15 07:00:02,1228,1195722
2023-12-15 08:00:04,1228,1199873
2023-12-15 09:00:07,1228,1204233
2023-12-15 10:00:10,1228,1208726
2023-12-15 11:00:12,1228,1212543
2023-12-15 12:00:00,1228,1216053
2023-12-15 13:00:03,1228,1220450
2023-12-15 14:00:07,1228,1224891
2023-12-15 15:00:10,1228,1227704
2023-12-15 16:00:12,1228,1229605
2023-12-15 17:00:00,1228,1231499
2023-12-15 18:00:03,1228,1233888
2023-12-15 19:00:06,1228,1236211
2023-12-15 20:00:09,1228,1236322
2023-12-15 21:00:11,1228,1236322
2023-12-15 22:00:14,1228,1236322
2023-12-15 23:00:03,1228,1236322
2023-12-16 00:00:06,1228,1236322
2023-12-16 01:00:09,1228,1236322
2023-12-16 02:00:12,1228,1236434
2023-12-16 03:00:14,1228,1239668
2023-12-16 04:00:02,1228,1243627
2023-12-16 05:00:05,1228,1248316
2023-12-16 06:00:13,1228,1253482
2023-12-16 07:00:00,1228,1259215
2023-12-16 08:00:03,1228,1265121
2023-12-16 09:00:06,1228,1270919
2023-12-16 10:00:08,1228,1276754
2023-12-16 11:00:11,1228,1282839
2023-12-16 12:00:13,1228,1288741
2023-12-16 13:00:01,1228,1293655
2023-12-16 14:00:04,1228,1299191
2023-12-16 15:00:07,1228,1305014
2023-12-16 16:00:10,1228,1311144
2023-12-16 17:00:13,1228,1316970
2023-12-16 18:00:00,1228,1322447
2023-12-16 19:00:03,1228,1327300
2023-12-16 20:00:06,1228,1327639
2023-12-16 21:00:09,1228,1327639
2023-12-16 22:00:12,1228,1327639
2023-12-16 23:00:15,1228,1327639
2023-12-17 00:00:02,1228,1327639
2023-12-17 01:00:05,1228,1327639
2023-12-17 02:00:08,1228,1327639
2023-12-17 03:00:11,1228,1327639
2023-12-17 04:00:14,1228,1327639
2023-12-17 05:00:02,1228,1327639
2023-12-17 06:00:05,1228,1327639
2023-12-17 07:00:08,1228,1327639
2023-12-17 08:00:10,1228,1327639
2023-12-17 09:00:13,1228,1328264
2023-12-17 10:00:01,1228,1330599
2023-12-17 11:00:04,1228,1333200
2023-12-17 12:00:06,1228,1336259
2023-12-17 13:00:09,1228,1339776
2023-12-17 14:00:12,1228,1343557
2023-12-17 15:00:14,1228,1347455
2023-12-17 16:00:02,1228,1351852
2023-12-17 17:00:05,1228,1356768
2023-12-17 18:00:07,1228,1362042
2023-12-17 19:00:10,1228,1366863
2023-12-17 20:00:13,1228,1371486
2023-12-17 21:00:00,1228,1376480
2023-12-17 22:00:03,1228,1381774
2023-12-17 23:00:06,1228,1387119
2023-12-18 00:00:08,1228,1392501
2023-12-18 01:00:11,1228,1397908
2023-12-18 02:00:14,1228,1403271
2023-12-18 03:00:01,1228,1408611
2023-12-18 04:00:04,1228,1414009
2023-12-18 05:00:07,1228,1419465
