id,first_date
CIC-4cd8f35f-e21f-583e-8699-4dba7b03dff3,2022-12-05
CIC-d3ac54c2-b04d-5b92-9811-835aa0d69570,2022-12-05
CIC-f4a4c9ba-8143-549b-a0b9-37c9372b1522,2022-12-05
CIC-cb3ef9bb-a5ae-58e6-b120-304e88d722f6,2022-12-05
CIC-66a81b33-6efd-56fd-aac5-106526444817,2022-12-05
CIC-ff9155b8-30a7-51ea-bad2-fee0ff5eacef,2022-12-06
CIC-57fa298d-5162-5b3d-8a24-63a0a3ea955d,2022-12-06
CIC-ab3bcb18-a5e5-5ed7-80ff-adfdfa66ffd7,2022-12-06
CIC-d5b24f2a-2b85-59ab-93b5-33d2e8c271b4,2022-12-06
CIC-7c31c2fb-a741-5c09-909a-a441a15c9b9b,2022-12-06
CIC-13b70628-c3c0-5376-8869-d3f5f98da2d2,2022-12-06
CIC-2d7ede19-2738-5cbc-a718-2be1bfda31f9,2022-12-06
CIC-d3ecf2b1-6dbe-5b0e-a10f-22a1a00cc1cb,2022-12-06
CIC-d73540e3-b45c-5e01-89ca-296e049be688,2022-12-06
CIC-e265a6ef-8365-5bab-a661-c23935c3c6ea,2022-12-06
CIC-b02913cf-ca11-579d-9cc9-37699402ee46,2022-12-07
CIC-c863dd3f-bd72-5dd7-ac83-9ded6310ffa8,2022-12-07
CIC-190be8fc-880e-546f-90ff-1dc572485337,2022-12-12
CIC-cac15d80-3f12-5fd3-86e9-ced9a206d1a0,2022-12-12
CIC-6c9ccb97-d2cb-5e5d-a62f-3aa8ae51f40e,2022-12-12
CIC-9930950e-239c-52c9-a220-ad9e143590e3,2022-12-12
CIC-17271e87-19f8-56ea-b586-bea88cf6f319,2022-12-12
CIC-f4a4d6c8-426a-5f3e-be7e-7d6d76b416bd,2022-12-12
CIC-80a41e35-2dda-5dca-8397-6186759410da,2022-12-12
CIC-2b3b2b10-3d5e-56ac-a200-852bc709d760,2022-12-12
CIC-973a3587-3202-5863-b8f7-14ca7219c7ba,2022-12-12
CIC-ccd15bc7-bcff-5888-a9db-561a973686f2,2022-12-12
CIC-dbf732f8-6f8a-56ff-b7cc-23b79a6544a6,2022-12-12
CIC-efa75d96-e4c6-5884-b3d7-8de8402bfef0,2022-12-12
CIC-eca79e5c-8d35-541c-b6a3-598cd73987d6,2022-12-12
CIC-31ff813f-11ba-5d54-b318-df98185f4a89,2022-12-12
CIC-8c2f8d02-fa14-5629-9db6-6867cd14e0cb,2022-12-12
CIC-937d8b60-6d5f-5ba1-8b0b-25fafbcce8bd,2022-12-12
CIC-329b07d0-1641-5d52-8425-71a495541b96,2022-12-12
CIC-1d5dbcad-4863-592c-a45f-1b650d647299,2022-12-12
CIC-e44782c6-7e10-542a-bd4b-d1f262a84d50,2022-12-12
CIC-2283c868-af2f-588a-bdc6-d4ac5d8be94d,2022-12-12
CIC-87b78669-f0fa-552a-a27c-5a4d723ac433,2022-12-12
CIC-443be64c-86c8-567b-a532-37cd51710f81,2022-12-12
CIC-a29cecd7-8f63-5504-912b-99f1b9c96861,2022-12-12
CIC-a7c8ca56-f1c9-5909-b8f1-02b04b72cc6e,2022-12-12
CIC-a9c0048c-8253-50b8-ac4d-fdf5cb6a5c94,2022-12-12
CIC-8a2ac069-56af-5010-9c11-c96f070b2a5d,2022-12-12
CIC-a1b3b232-8ac0-55b8-88aa-c18c4417eb87,2022-12-12
CIC-9f3480e1-be4f-524a-be20-acfda2908c9c,2022-12-12
CIC-048e9382-3876-50aa-995a-caa6dea2b7bb,2022-12-12
CIC-5644afd9-4029-59bb-b014-fc2da77f95e1,2022-12-12
CIC-6ae6451d-4563-5879-a618-6d8ed6212c9c,2022-12-12
CIC-3d1eca1e-2568-541d-a92f-0dc71e84d433,2022-12-12
CIC-fc7d82f2-0b94-5661-a956-6d575b898997,2022-12-12
CIC-008396fd-1fe4-5812-b410-91ac000e439c,2022-12-12
CIC-4fc4ad82-e06e-5de6-8a73-c869765f77cc,2022-12-12
CIC-4f7227a6-5a43-53fa-b3f5-c22ea3cd8f1c,2022-12-12
CIC-b3797ab8-b356-5a45-9cef-5afa8e0f06e0,2022-12-12
CIC-c95d6a47-f8cb-5904-be1b-c6f56f40d2b7,2022-12-12
CIC-4e4de9c6-7ed4-5bb4-b847-1b5a464ed3ce,2022-12-12
CIC-3bffb254-a746-5059-99ff-d993a97cc6ca,2022-12-12
CIC-0155c484-72c5-5bc4-af6d-62dd0bba94ac,2022-12-20
CIC-b04681f8-6cf3-5dd3-a7c8-608131fd8082,2022-12-21
CIC-bf0bbba6-4079-5834-a3d1-b2c2cad0c7bd,2022-12-21
CIC-da9d1963-a0ad-5e4e-ba55-3d749a1cb5b5,2022-12-21
CIC-1c03a095-545b-5c7a-a034-dc7897e1f7a2,2022-12-21
CIC-5e549cc0-6225-5189-bb02-f257192133e0,2022-12-21
CIC-bd1c3e34-ceb0-5d57-a309-6c63131d45c2,2022-12-21
CIC-4cb75b6b-4d16-542b-b79a-78b6ab63ee94,2022-12-21
CIC-85fed710-8932-5629-bc39-6fe3e5866116,2022-12-21
CIC-0f7974dd-11bc-53b7-8f1d-258790fce06e,2022-12-21
CIC-e3d909c8-c415-5ab7-b818-ab956db6da3c,2022-12-21
CIC-73385077-0b36-523d-b2d8-c698b54f8c32,2022-12-22
CIC-8da0fc4b-1938-585e-913a-d44584a6027c,2022-12-22
CIC-0326c4b5-ab9e-58de-b5fa-5c3824f43c3b,2022-12-23
CIC-d7e946f0-eedc-5972-895b-7460a06ece1e,2022-12-23
CIC-a70807c0-3100-50aa-be51-e53a7a45bf66,2022-12-23
CIC-49e3ab70-8485-5c88-93ff-10012af7fdee,2022-12-23
CIC-ee4cc283-e117-5672-b5aa-d51d8f9c393a,2022-12-23
CIC-ef5963c2-588d-5d89-a260-61757485217f,2022-12-23
CIC-4e4e3f88-7196-52ce-bead-cb6b76332cf8,2022-12-23
CIC-47329306-9539-52c7-931b-234d0e73a96f,2022-12-23
CIC-fc5daccb-9103-527a-8291-c5a1fea78cb0,2022-12-23
CIC-07a5b3a4-f626-5f7a-a70d-23b5ae2ffc2c,2022-12-23
CIC-35d99f78-2c5b-5d7f-849d-6504c403daf2,2022-12-23
CIC-9066c1ce-9bc1-575f-ac14-cce06c2e2d33,2022-12-23
CIC-ec6fa06f-429f-52a2-9e0d-1f2f797289a1,2022-12-23
CIC-ec6d9315-8e7d-56a5-b18d-cff802a48327,2022-12-23
CIC-1d52f8ab-b6b7-5578-8f73-2ede321ea3b0,2022-12-23
CIC-0b42b575-78c3-5392-8dad-8e4837fe9f63,2022-12-23
CIC-c15298a5-9ad4-507c-b44c-a70f0c299bbe,2022-12-23
CIC-5a9b0185-434d-5ce0-82df-7dbe9b475ef7,2022-12-23
CIC-8554385d-5354-5a93-a1b9-a4828268c43d,2022-12-23
CIC-abc37c19-0954-5a5c-b577-5a0d107a6cd0,2022-12-23
CIC-b204c6cd-e7a4-5e45-967b-592e7d1ec169,2022-12-23
CIC-29f3ed1e-e8b8-5777-84f9-976ca77fa25a,2022-12-28
CIC-5b2723d0-cb51-507a-b29f-8d334fc3ec33,2022-12-28
CIC-5d375712-bc17-570d-a767-04ee3648db4c,2022-12-28
CIC-92982db5-97a6-5ca3-b047-436a992f40fa,2022-12-28
CIC-24c8125a-c144-55fb-98b2-518bdfa24ee9,2022-12-28
CIC-1f969481-b04d-562f-8163-407396cf3e07,2022-12-28
CIC-b282e033-e86f-5fd9-8311-70e6a95b056a,2022-12-28
CIC-57efd121-b6c0-5a8f-963c-99febdccd6d8,2022-12-28
CIC-1b409ec4-d13b-5599-84d6-de8f96b6ac2f,2022-12-28
CIC-20d3f004-dff8-5442-b7df-a0df3fa46350,2022-12-28
CIC-1b68889a-ff14-5c0b-9851-b66c0881571b,2022-12-28
CIC-2026b7c2-5083-5ed6-8292-6be6026d029f,2022-12-28
CIC-b0d0c5b4-1736-5244-8198-9992cc2a838b,2022-12-28
CIC-1d6e9d38-ffa2-5d61-94d0-a3d8ab37d638,2022-12-28
CIC-600a45d0-0b5c-57af-85d2-cb8ea838a438,2022-12-28
CIC-e5a879c0-1e13-5b68-aea8-40fd3b7954b9,2022-12-28
CIC-53ee1125-7ff0-5305-8f90-28485b308762,2022-12-28
CIC-e45e757f-31d7-5bc5-960e-fc762532b785,2022-12-28
CIC-1f18e79f-4f8d-577d-b0d9-97bc4715f129,2022-12-28
CIC-c869f7ba-2200-58a7-b28e-6e9371158b8e,2022-12-28
CIC-328fc187-905f-53e6-b3d4-ec6620ca3f82,2022-12-28
CIC-403007af-4af5-5d5e-91a2-5da135ccd705,2022-12-28
CIC-3361caad-f9ec-5827-80dd-6c2aba223fed,2022-12-28
CIC-d0dd2744-2fed-5bd5-8823-33afb4b1d11a,2022-12-28
CIC-3e847c28-52ee-5f80-8989-87f38592992a,2022-12-28
CIC-a152dafe-9463-5cf4-946d-8ef90827a6d9,2022-12-28
CIC-9cec2839-4410-558d-b02a-d8e609314cb7,2022-12-28
CIC-6a91b989-dd32-5d0b-aeab-e26dc322a990,2022-12-28
