Date,ActiveClientID,Total_hpHeat_diff,Total_hpElectric_diff,Total_boilerHeat_diff,Total_COP,Savings_Gas,CO2_Gas_Saved,CO2_Electricity,Savings_CO2,Savings_CO2_perCIC
2024-01-01 00:00:00,4657,233306079.0,52550206.0,30877063.0,4.439679627516589,26534.669206710263,47443.98854159795,16290.56386,31153.424681597957,6.689590870001709
2024-01-02 00:00:00,4661,212942235.0,41408386.0,19743765.0,5.142490581497188,24218.622121125958,43302.89635257321,12836.59966,30466.296692573214,6.536429241058403
2024-01-03 00:00:00,4640,214039272.0,43606492.0,21659573.0,4.908426754438307,24343.39175433608,43525.984456752914,13518.01252,30007.97193675291,6.467235331196748
2024-01-04 00:00:00,4669,228641442.0,52373922.0,29883500.0,4.365558913078917,26004.14466875178,46495.41066772818,16235.91582,30259.49484772818,6.480936998870889
2024-01-05 00:00:00,4694,251884784.0,60192723.0,37114464.0,4.184638465350703,28647.686551037816,51222.06355325562,18659.74413,32562.319423255612,6.937008824724247
2024-01-06 00:00:00,4715,276144663.0,86912455.0,87443569.0,3.177273763581986,31406.842536252487,56155.43445481945,26942.86105,29212.573404819446,6.195667742273478
2024-01-07 00:00:00,4747,295212408.0,104458495.0,157874382.0,2.8261215902067134,33575.48001137333,60032.958260335516,32382.133449999998,27650.824810335507,5.824905163331684
2024-01-08 00:00:00,4783,309166247.0,113780781.0,237828855.0,2.7172097456423683,35162.49610463463,62870.54303508672,35272.04211,27598.500925086715,5.770123546955198
2024-01-09 00:00:00,4809,289800610.0,109685873.0,290174615.0,2.6420960336432753,32959.97839067387,58932.44136252488,34002.620630000005,24929.820732524873,5.183992666359924
2024-01-10 00:00:00,4823,291923612.0,109914796.0,289314351.0,2.6559082364125026,33201.434404321866,59364.1647149275,34073.58676,25290.577954927496,5.243744133304478
2024-01-11 00:00:00,4858,298956552.0,109910123.0,260430414.0,2.7200092570181185,34001.313847028716,60794.34915848735,34072.13813,26722.21102848735,5.5006609774572555
2024-01-12 00:00:00,4864,306917649.0,97618152.0,116890816.0,3.1440632988012314,34906.75564401478,62413.27909149843,30261.62712,32151.651971498435,6.610125816508725
2024-01-13 00:00:00,4868,301669748.0,93381202.0,93750070.0,3.230519007455055,34309.89456923514,61346.09148979243,28948.17262,32397.91886979243,6.655283251806169
2024-01-14 00:00:00,4888,291217775.0,94041430.0,109904041.0,3.0966965836227716,33121.157236280924,59220.62913847029,29152.8433,30067.785838470285,6.151347348295885
2024-01-15 00:00:00,4922,301519710.0,103946389.0,153466079.0,2.9007232757262975,34292.830253056585,61315.580492465175,32223.38059,29092.19990246516,5.9106460590136445
2024-01-16 00:00:00,4947,300732963.0,105221313.0,161970324.0,2.8580993187188226,34203.350924083024,61155.59145226045,32618.607030000003,28536.984422260448,5.768543444968758
2024-01-17 00:00:00,4982,315269507.0,114932620.0,214263830.0,2.7430811809562856,35856.63997725334,64111.672279328974,35629.1122,28482.56007932897,5.717093552655354
2024-01-18 00:00:00,5005,289120216.0,103664798.0,185962409.0,2.788991263938989,32882.59493886835,58794.07975069661,32136.087379999997,26657.992370696615,5.326272201937385
2024-01-19 00:00:00,5032,298742475.0,102720230.0,160815116.0,2.9083119751581554,33976.96616434461,60750.81550184816,31843.2713,28907.54420184816,5.744742488443593
2024-01-20 00:00:00,5044,320682997.0,113990310.0,193449108.0,2.813247871683128,36472.33403468865,65212.5332540233,35336.996100000004,29875.537154023314,5.92298516138448
2024-01-21 00:00:00,5055,341871299.0,109095504.0,139363042.0,3.133688249884248,38882.14944555018,69521.28320864373,33819.60624,35701.67696864372,7.062646284598164
2024-01-22 00:00:00,5048,247387312.0,51599340.0,31778428.0,4.794389075519183,28136.174239408585,50307.47954006255,15995.7954,34311.684140062556,6.797084813800031
2024-01-23 00:00:00,5065,270179113.0,60660834.0,40637941.0,4.453930076200403,30728.360875746373,54942.30924583452,18804.858539999997,36137.45070583452,7.134738540145019
2024-01-24 00:00:00,5034,224281350.0,45313242.0,23624678.0,4.94957632914458,25508.257037247655,45608.76358259881,14047.105019999999,31561.658562598805,6.269697767699405
2024-01-25 00:00:00,5086,261220826.0,61928605.0,40837700.0,4.2180964031080626,29709.505373898206,53120.59560852999,19197.86755,33922.72805853,6.669824628102635
2024-01-26 00:00:00,5071,230398234.0,50447606.0,29576828.0,4.56707963505741,26203.950412283193,46852.663337162354,15638.75786,31213.905477162352,6.155374773646687
2024-01-27 00:00:00,5112,266386313.0,78296589.0,77937234.0,3.4022722624608845,30296.993232868925,54171.02390036964,24271.94259,29899.08131036963,5.848803073233496
2024-01-28 00:00:00,5127,260128731.0,76952108.0,83644577.0,3.3803977273760974,29585.297810634063,52898.5124854137,23855.15348,29043.3590054137,5.664786230819914
2024-01-29 00:00:00,5135,247857284.0,62213956.0,41358746.0,3.98394990345896,28189.625703724767,50403.05075825989,19286.32636,31116.724398259877,6.059732112611466
2024-01-30 00:00:00,5148,260344822.0,55336872.0,28340678.0,4.704726027882458,29609.874552175148,52942.45569928917,17154.43032,35788.02537928917,6.951830881757802
2024-01-31 00:00:00,5190,287924345.0,69174487.0,40434452.0,4.162291004774636,32746.584589138467,58550.89324537958,21444.090969999997,37106.80227537958,7.149672885429592
